t,re,im
0,1,-0.028
0.2,0.98,-0.016
0.4,0.921,-0.019
0.6,0.828,-0.062
0.8,0.716,-0.142
1,0.621,-0.161
1.2,0.47,-0.248
1.4,0.376,-0.292
1.6,0.313,-0.342
1.8,0.239,-0.477
2,0.195,-0.517
2.2,0.203,-0.528
2.4,0.227,-0.591
2.6,0.195,-0.575
2.8,0.177,-0.555
3,0.164,-0.521
3.2,0.102,-0.483
3.4,0.026,-0.397
3.6,-0.11,-0.382
3.8,-0.249,-0.386
4,-0.37,-0.285
4.2,-0.562,-0.224
4.4,-0.669,-0.203
4.6,-0.809,-0.171
4.8,-0.871,-0.134
5,-0.902,-0.148
5.2,-0.92,-0.173
5.4,-0.864,-0.122
5.6,-0.835,-0.093
5.8,-0.739,-0.042
6,-0.694,0.079
6.2,-0.59,0.131
6.4,-0.55,0.204
6.6,-0.5,0.301
6.8,-0.508,0.358
7,-0.522,0.422
7.2,-0.488,0.522
7.4,-0.521,0.58
7.6,-0.532,0.583
7.8,-0.538,0.552
8,-0.526,0.56
8.2,-0.465,0.528
8.4,-0.37,0.492
8.6,-0.221,0.427
8.8,-0.045,0.384
9,0.128,0.351
9.2,0.26,0.372
9.4,0.378,0.297
9.6,0.535,0.343
9.8,0.599,0.335
10,0.66,0.292
10.2,0.685,0.296
10.4,0.665,0.279
10.6,0.648,0.246
10.8,0.58,0.235
11,0.551,0.076
11.2,0.535,-0.024
11.4,0.509,-0.066
11.6,0.586,-0.159
11.8,0.584,-0.274
12,0.634,-0.372
12.2,0.692,-0.445
12.4,0.766,-0.478
12.6,0.787,-0.5
