t,re,im
0,2.2875,0.117
0.2,2.2665,-0.2565
0.4,2.0805,-0.336
0.6,2.034,-0.4935
0.8,1.8495,-0.7065
1,1.68,-0.8175
1.2,1.599,-0.9
1.4,1.203,-1.26
1.6,1.0995,-1.464
1.8,0.852,-1.4475
2,0.816,-1.554
2.2,0.7305,-1.7445
2.4,0.5235,-1.821
2.6,0.2385,-1.9395
2.8,0.3165,-1.761
3,-0.018,-1.911
3.2,-0.1635,-1.6605
3.4,-0.369,-1.497
3.6,-0.63,-1.5255
3.8,-0.918,-1.425
4,-1.092,-1.266
4.2,-1.4205,-1.11
4.4,-1.6125,-1.0095
4.6,-1.815,-0.8265
4.8,-1.923,-0.804
5,-2.13,-0.54
5.2,-2.1825,-0.4875
5.4,-2.1225,-0.21
5.6,-2.1405,-0.015
5.8,-1.986,-0.0825
6,-1.851,0.1995
6.2,-1.905,0.444
6.4,-1.7595,0.729
6.6,-1.6215,0.8355
6.8,-1.4895,1.2255
7,-1.6125,1.3485
7.2,-1.35,1.4535
7.4,-1.3365,1.548
7.6,-1.1385,1.635
7.8,-1.035,1.74
8,-0.8295,1.7265
8.2,-0.633,1.6725
8.4,-0.3315,1.8285
8.6,-0.183,1.722
8.8,0.057,1.584
9,0.4455,1.6035
9.2,0.702,1.416
9.4,1.0185,1.3935
9.6,1.182,1.3665
9.8,1.4565,1.4745
10,1.6395,1.299
10.2,1.6845,1.1025
10.4,1.743,0.933
10.6,1.842,0.762
10.8,1.809,0.4875
11,1.9185,0.5325
11.2,1.7895,0.135
11.4,1.815,-0.018
11.6,1.893,-0.2445
11.8,1.7595,-0.51
12,1.923,-0.7845
12.2,1.815,-0.903
12.4,1.845,-1.2135
12.6,1.8315,-1.485
